,astronaut_id,selection_id,year_of_selection
179,88,TsKBEM-3,1973
180,88,TsKBEM-4,1973
181,89,1976 Intercosmos Group,1976
182,90,Interkosmos-1,1976
183,91,TsPK-4,1967
184,91,TsPK-4,1967
185,91,TsPK-4,1967
186,92,1978 Intercosmos Group,1978
187,93,TsPK-5,1970
188,93,TsPK-6,1970
189,93,TsPK-7,1970
190,94,1978 Intercosmos Group,1978
191,95,TsPK-4,1967
192,95,TsPK-5,1967
193,96,1979 Intercosmos Group,1979
194,97,1978 Intercosmos Group,1978
195,98,TsPK-3,1965
196,98,TsPK-4,1965
197,98,TsPK-5,1965
198,99,TsKBEM-3,1973
199,99,TsKBEM-3,1973
200,99,TsKBEM-3,1973
201,99,TsKBEM-3,1973
202,100,NPOE-4,1978
203,110,NPOE-4,1978
204,110,NPOE-4,1978
205,111,MAP,1980
206,111,MAP,1980
207,112,MOL-2 / NASA-7,1966
208,112,MOL-2 / NASA-7,1966
209,113,NASA- 6,1967
210,113,NASA- 6,1967
211,114,NASA- 6,1967
212,115,"1966 USAF MOL Gropu 2, NASA- 7",1969
213,115,"1966 USAF MOL Gropu 2, NASA- 7",1969
214,115,"1966 USAF MOL Gropu 2, NASA- 7",1969
215,116,MOL-3 / NASA-7,1969
216,117,NASA-6,1967
217,117,NASA-6,1967
218,117,NASA-6,1967
219,117,NASA-6,1967
220,118,TsPK-6,1976
221,118,TsPK-7,1976
222,118,TsPK-8,1976
223,119,NASA Astronaut Group 8,1978
224,119,NASA Astronaut Group 8,1978
225,119,NASA Astronaut Group 8,1978
226,120,NASA- 8,1978
227,120,NASA- 8,1978
228,121,NASA-8,1978
229,121,NASA-8,1978
230,122,1978 NASA group,1978
231,122,1978 NASA group,1978
232,122,1978 NASA group,1978
233,122,1978 NASA group,1978
234,123,NPOE-4,1978
235,124,NASA- 8,1978
236,124,NASA- 8,1978
237,124,NASA- 8,1978
238,124,NASA- 8,1978
239,125,NASA- 8,1978
240,125,NASA- 8,1978
241,125,NASA- 8,1978
242,125,NASA- 8,1978
243,126,NASA Astronaut Group 8,1978
244,126,NASA Astronaut Group 8,1978
245,127,1967 NASA group,1967
246,127,1967 NASA group,1967
247,128,1978 NASA group 8,1978
248,128,1979 NASA group 8,1978
249,128,1980 NASA group 8,1978
250,129,NASA-6,1967
251,129,NASA-6,1967
252,130,NASA-9,1982
253,130,NASA-9,1982
254,131,ESA-1,1978
255,131,ESA-1,1978
256,132,NASA Astronaut Group 8,1978
257,132,NASA Astronaut Group 8,1978
258,132,NASA Astronaut Group 8,1978
259,132,NASA Astronaut Group 8,1978
260,132,NASA Astronaut Group 8,1978
261,133,NASA- 8,1978
262,133,NASA- 8,1978
263,134,1978 NASA group,1978
264,134,1978 NASA group,1978
265,135,NASA- 5,1966
266,135,NASA- 5,1966
267,136,NPOE-4,1978
268,136,NPOE-4,1978
269,137,AMN,1983
270,138,1982 Soviet Intercosmos Space Program,1982
271,139,1978 NASA group 8,1978
