,astronaut_id,selection_id,year_of_selection
890,447,NASA- 17,1998
891,448,1963 NASA group 2,1996
892,448,1963 NASA group 2,1996
893,449,,2006
894,450,NASA-17,1998
895,451,NASA-17,1998
896,451,NASA-17,1998
897,452,1992 ESA Group,1992
898,452,1992 ESA Group,1992
899,453,NASA- 16,1996
900,454,1998 NASA group,1998
901,454,1998 NASA group,1998
902,456,,2006
903,456,,2006
904,457,NASA- 17,1998
905,457,NASA- 17,1998
906,458,1998 NASA group,1998
907,458,1998 NASA group,1998
908,459,NASA-17,1998
909,459,NASA-17,1998
910,460,NASA- 17,1998
911,461,NASA- 17,1998
912,461,NASA- 17,1998
913,462,NASA- 18,2000
914,462,NASA- 18,2000
915,463,NASA- 17,1998
916,464,2006 Angkasawan Program,2006
917,465,1998 NASA group,1998
918,465,1998 NASA group,1998
919,466,1998 NASA group,1998
920,467,1998 ESA Group,1998
921,468,NASA-17,1998
922,468,NASA-17,1998
923,469,NASA- 17,1998
924,469,NASA- 17,1998
925,470,NASA- 17,1998
926,471,NASA- 17,1998
927,471,NASA- 18,1998
928,472,NASA- 18,2000
929,472,NASA- 18,2000
930,473,NASA- 17,1998
931,473,NASA- 17,1998
932,474,NASA-17,1998
933,474,NASA-17,1998
934,475,TsPK-12,1997
935,476,MKS,1996
936,476,MKS,1996
937,477,South Korea,2006
938,478,NASA Astronaut Group 17,1998
939,478,NASA Astronaut Group 18,1998
940,479,NASA- 18,2000
941,479,NASA- 18,2000
942,480,NASA Astronaut Group 18,2000
943,480,NASA Astronaut Group 18,2000
944,481,NASDA-4,1999
945,481,NASDA-4,1999
946,482,NASA-17,1998
947,482,NASA-17,1998
948,483,China-1,2008
949,484,China-1,2008
950,485,China-1,2008
951,485,China-1,2008
952,485,China-1,2008
953,486,,2007
954,487,NASA- 18,2000
955,487,NASA- 18,2000
956,488,NASA- 18,2000
957,488,NASA- 18,2000
958,488,NASA- 18,2000
959,489,NASA- 19,2004
960,490,NASA- 18,2000
961,490,NASA- 18,2000
962,491,NASA- 19,2004
963,491,NASA- 19,2004
964,492,NASA- 19,2004
965,493,NASA- 18,2000
966,494,NASA- 17,1998
967,495,NASA Astronaut Group 18,2000
968,495,NASA Astronaut Group 19,2000
969,496,NASA- 18,2000
970,497,NASA- 18,2000
971,497,NASA- 18,2000
972,498,TsPK-12,1997
973,499,NASA- 18,2000
974,499,NASA- 19,2000
975,500,NASA- 19,2004
976,501,NASA- 19,2004
977,501,NASA- 19,2004
978,502,NASA- 18,2000
979,503,NASA- 18,2000
980,503,NASA- 18,2000
981,504,NASA- 19,2004
982,505,2000 NASA group,2000
983,506,TsPK-12,1997
984,507,Space Tourist,2009
985,508,2000 NASA group,2000
986,508,2000 NASA group,2000
987,509,NASA- 19,2004
988,510,2004 NASA Group 19,2004
989,512,2000 NASA group,2000
990,513,TsPK-12,1997
991,514,RKKE-14,1998
992,514,RKKE-14,1998
993,515,NASA- 19,2004
994,516,NASA- 19,2004
995,517,NASDA-4,1999
996,519,RKKE-14,1997
997,519,RKKE-14,1997
998,521,TsPK-13,2003
999,521,TsPK-13,2003
1000,522,RKKE-15,2003
1001,526,RKKE-12,1996
1002,527,China-1,2012
1003,528,China-2,2012
1004,529,TsPK-14,2006
1005,530,TsPK-13,2003
1006,532,2009 ESA Group,2009
1007,533,China-1,2013
1008,534,China-2,2013
1009,539,ESA-3/EAC,2009
1010,540,RKKE-15,2006
1011,544,ESA-3/EAC,2009
1012,545,Kzazkh Cosmonaut Group 1,2012
1013,546,2009 ESA Group,2009
1014,547,TsPK-14,2006
1015,547,TsPK-14,2006
1016,550,China-2,2010
1017,557,TsPK-15,2010
1018,558,NASA-20,2009
1019,559,NASA-21,2013
1020,560,CSA-3,2009
1021,561,NASA-21,2013
