astronaut_id,selection_id,year_of_selection
162,NASA Astronaut Group 8,1978
163,NASA- 8,1978
164,PS,1985
165,NASA Astronaut Group 8,1978
166,NASA- 5,1966
167,PS,1983
168,Spacelab-3 mission payload specialist,1984
169,NASA- 8,1978
170,NASA-8,1978
171,NASA- 8,1978
172,CNES-1,1980
173,Saudi-Arabia,1985
174,NASA- 9,1980
175,NASA- 6,1967
176,NASA- 6,1967
177,PS for Spacelab-2,1978
178,PS for Spacelab-2,1978
179,NASA- 8,1978
180,NASA- 9,1980
181,NASA- 9,1980
182,TsPK-6,1976
183,TsPK-6,1976
184,NASA Astronaut Group 9,1980
184,NASA Astronaut Group 11,1980
184,NASA Astronaut Group 12,1980
185,NASA- 9,1980
185,NASA- 10,1980
185,NASA- 11,1980
185,NASA- 12,1980
186,USAF group,1982
187,NASA- 9,1980
188,DLR-1,1982
189,DLR-1,1982
190,1978 ESA Group,1978
192,NASA-9,1980
193,NASA- 9,1980
194,1980 NASA group,1980
195,1985 NASA Group,1985
196,NASA- 9,1980
197,NASA- 9,1980
198,PS by RCA,1985
199,Congress Observer,1984
200,1980 NASA group 9,1980
201,PS by SAL,1984
202,1985 Teacher in Space,1985
204,TsPK-7,1978
205,Syria,1985
206,NPOE-4,1978
207,LII-1,1977
208,TsPK-6,1976
210,IMBP-1,1972
211,Afghanistan,1988
212,NPOE-7,1985
213,NASA Astronaut Group 9,1980
214,1984 NASA group 10,1984
215,NASA- 9,1980
216,1980 NASA group,1980
217,NASA- 9,1980
218,NASA- 10,1984
219,NASA-9,1980
220,NASA- 10,1984
221,NASA- 10,1984
222,NASA- 10,1984
223,NASA- 10,1984
225,1984 NASA group,1984
226,1984 NASA group 10,1984
227,NASA- 10,1984
228,NASA- 10,1984
230,NASA- 10,1984
231,1985 NASA group,1985
232,GKNII-2 / TsPK-9,1985
233,NASA- 11,1985
234,NASA- 12,1987
234,NASA- 13,1987
235,NASA- 12,1987
236,NASA- 10,1984
237,NASA- 11,1985
238,NASA Astronaut Group 11,1985
239,PS for Astro-1,1984
239,PS for Astro-2,1984
240,PS for Astro-1,1984
241,GKNII-2 / TsPK-9,1985
242,TBS,1989
243,NASA- 10,1984
244,NASA Astronaut Group 12,1985
244,NASA Astronaut Group 13,1985
244,NASA Astronaut Group 14,1985
245,NASA- 11,1985
246,NASA Astronaut Group 10,1984
246,NASA Astronaut Group 11,1984
247,NASA Astronaut Group 12,1987
247,NASA Astronaut Group 13,1987
247,NASA Astronaut Group 14,1987
247,NASA Astronaut Group 15,1987
248,NASA- 12,1987
249,1984 NASA group 10,1984
250,NASA- 11,1985
250,NASA- 12,1985
250,NASA- 13,1985
252,1989 Juno,1989
253,NASA Astronaut Group 10,1984
253,NASA Astronaut Group 11,1984
254,NASA- 11,1985
254,NASA- 12,1985
254,NASA- 13,1985
254,NASA- 15,1985
255,Spacelab-4 / SLS-1,1984
256,NASA PS,1983
257,NASA- 11,1985
258,NASA-12,1987
259,Kazakhstan,1991
260,Austria,1989
261,NASA- 11,1985
261,NASA- 12,1985
262,1987 NASA group,1987
263,NASA-12,1987
264,Terra Scout,1988
265,NASA-11,1985
266,NASA-12,1987
267,1983 NRC Group,1983
268,NPOE-6,1984
269,DLR-3,1990
270,NASA- 11,1985
271,NASA- 12,1987
272,ATLAS-1,1985
273,NASA- 12,1987
274,NASA- 12,1987
275,United States Microgravity Labratory-1,1990
276,Spacelab-3,1983
277,NPOE-8,1987
278,CNES-2/EAC,1985
279,NASA- 12,1987
280,1978 ESA Group,1978
282,NASA- 12,1987
283,NASA- 12,1987
284,NASA- 12,1987
285,NASDA-1,1985
286,1983 NRC Group,1983
287,NASA- 13,1990
288,NASA- 13,1990
289,NPOE-9,1989
290,NASA- 13,1990
291,NASA-13,1990
292,NASA-13,1990
293,NASA Astronaut Group 13,1990
293,NASA Astronaut Group 14,1990
294,DLR-2/EAC,1987
295,DLR-2/EAC,1987
296,NASA- 13,1990
297,1990 NASA group,1990
298,1990 NASA group,1990
299,TsPK-8,1987
300,CNES-2/EAC,1985
301,NASA-13,1990
302,NASA- 13,1990
303,1990 NASA group,1990
304,1990 NASA group 13,1990
305,NASA- 13,1990
306,1990 NASA group,1990
307,PS for STS-58,1992
308,1989 NPOE Cosmonaut Group,1989
309,1990 NASA group 13,1990
310,NASA- 13,1990
310,NASA- 14,1990
311,TsPK-8,1987
312,MGA/Kazakhstan,1990
313,NASA Astronaut Group 13,1990
313,NASA Astronaut Group 14,1990
313,NASA Astronaut Group 16,1990
313,NASA Astronaut Group 17,1990
314,NASA- 13,1990
315,1990 NASA group,1990
316,NASDA-1,1985
317,NASA- 14,1992
318,1990 NASA group,1990
319,1992 NASA group,1992
319,1993 NASA group,1992
319,1994 NASA group,1992
319,1995 NASA group,1992
320,NPOE-9,1989
321,1992 NASA group,1992
322,CNES-2/ESA-2/EAC,1985
323,NASA-14,1992
324,NASA- 13,1990
325,NASA Astronaut Group 13,1990
326,NASA Astronaut Group 14,1992
326,NASA Astronaut Group 15,1992
326,NASA Astronaut Group 16,1992
326,NASA Astronaut Group 17,1992
326,NASA Astronaut Group 18,1992
327,NASA- 14,1992
328,TsPK-8,1987
331,1992 NASA group,1992
332,TsPK-8,1987
