lv_name,stage_number,stage_name,dummy
Arrow 3,2,Arrow 3 Stage 2,no
Apollo LES,1,Apollo LES,no
KN-02,1,KN-02,no
Tochka,1,Tochka,no
Tochka-U,1,Tochka-U,no
ZUR-215,1,ZUR-215,no
V-750,0,V-750 Booster,no
V-750,1,V-750,no
Sabre Zombie,1,Sabre Zombie,no
Pathfinder Zombie,1,Pathfinder Zombie,no
ATACMS,1,ATACMS,no
X-51A,0,B-52H,no
X-51A,1,ATACMS,no
X-51A,2,X-51A,no
B-611,1,B-611,no
SR 0.1,1,B-611,no
SR 0.1,2,SR 0.1,no
K-BATS,1,K-BATS,no
KN-24,1,KN-24,no
Badr-1,1,Badr-1,no
Grad,1,Grad,no
HYSR,1,HYSR,no
LS-C,1,LS-C Booster,no
LS-C,2,LS-C,no
LS-C,2,LS-C-7,no
Seliger 1,1,Seliger 1,no
Seliger 3,1,Seliger 1,no
Seliger 3,2,Seliger 1,no
Seliger 3,3,Seliger 3,no
Taurus,1,Taurus,no
Taurion,1,Taurion,no
Fateh-110,1,Fateh-110,no
Zelzal,1,Zelzal,no
Lance,1,Lance Missile,no
RH-560S,1,RH-560S,no
RH-560,1,RH-560,no
RH-560,2,Belier,no
Tacite,1,Tacite,no
Antares,1,Vesuve,no
Antares,2,Neptune,no
Antares,3,Mimosa,no
Antares,4,Melanie,no
Hatf I,1,Hatf I,no
Veronique R,1,Veronique R,no
Veronique,1,Veronique,no
Veronique AGI,1,Veronique AGI,no
Veronique 61,1,Veronique 61,no
Veronique 61M,1,Veronique 61M,no
Veronique P2,1,Veronique P2,no
Veronique P6,1,Veronique P6,no
Luna-M,1,Luna-M,no
Hades,1,Hades,no
Black Sparrow,0,F-15D,no
Black Sparrow,1,Black Sparrow,no
Blue Sparrow,0,F-15D,no
Blue Sparrow,1,Blue Sparrow,no
Silver Sparrow,0,F-15D,no
Silver Sparrow,1,Silver Sparrow,no
Al Samoud,1,Al Samoud,no
Al Fatah,1,Al Fatah,no
S-520,1,S-520,no
TT-500,1,TT-500,no
TT-500,2,TT-500-S2,no
48N6,1,48N6,no
JCR,1,JCR Booster,no
JCR,2,JCR,no
Momo,1,Momo,no
STIG-B,1,STIG-B,no
SARGE,1,SARGE,no
E-8-5 VA,1,E-8-5 VA,no
Long Tom,1,Long Tom,no
Long Tom,2,Mayfly,no
Long Tom,1,Gosling,no
HAT,1,HAT,no
HAT,2,LAPSTAR,no
Terrier,1,Terrier,no
SRAM,1,SRAM,no
ASAT,1,ASAT,no
ASAT,2,Star 20,no
MR-12,1,MR-12,no
MR-20,1,MR-20,no
MR-30,1,MR-30,no
Tianying-3C,1,Tianying-3C,no
T-7,0,T-7 booster,no
T-7,1,T-7,no
Black Brant I,1,Black Brant I,no
Black Brant IIB,1,Black Brant IIB,no
Black Brant VA,1,Black Brant VA,no
Black Brant VB,1,Black Brant VB,no
Black Brant VC,1,Black Brant VC,no
Rook,1,Rook II,no
Rook IIIA,1,Rook IIIA,no
RX-420,1,RX-420,no
Kappa 8,1,K420,no
Kappa 8,2,Kappa 8,no
Nike,1,Nike,no
AAD,1,AAD,no
Malemute,1,Malemute,no
Martlet 1,1,Martlet 1,no
Martlet 2,1,Martlet 2,no
Martlet 3A,1,Martlet 3A,no
Martlet 3B,1,Martlet 3B,no
Zenit,1,Zenit,no
Zenit,0,Cuckoo IA,no
Nike-46,1,Nike-46,no
Nike-46,2,Nike-46 Sustainer,no
Nike-47,1,Nike-47,no
Nike-47,2,Nike-47 Sustainer,no
KN-25,1,KN-25,no
STIG-A,1,STIG-A,no
ISRO-CES,1,ISRO-CES,no
Astrobee F,1,Astrobee F,no
Genie,1,Genie,no
Aerobee AJ10-25,1,Aerobee Booster,no
Aerobee AJ10-25,2,Aerobee AJ10-25,no
Aerobee AJ10-27,1,Aerobee Booster,no
Aerobee AJ10-27,2,Aerobee AJ10-27,no
Aerobee AJ10-34,1,Aerobee Booster,no
Aerobee AJ10-34,2,Aerobee AJ10-34,no
