number,name,original_name,sex,year_of_birth,nationality,background
72,"Sarafanov, Gennadi",Геннадий Васильевич Сарафанов,M,1942,RU,M
73,"Dyomin, Lev",Лев Степанович Дёмин,M,1926,RU,M
74,"Gubarev, Aleksei",Алексей Александрович Губарев,M,1931,RU,M
75,"Grechko, Georgi",Георгий Михайлович Гречко,M,1931,RU,C
76,"Brand, Vance D.","Brand, Vance D.",M,1931,US,C
77,"Slayton, Donald K.","Slayton, Donald K.",M,1924,US,C
78,"Zholobov, Vitali",Виталий Михайлович Жолобов,M,1937,RU,M
79,"Aksyonov, Vladimir",Владимир Викторович Аксёнов,M,1935,RU,M
80,"Zudov, Vyacheslav",Вячеслав Дмитриевич Зудов,M,1942,RU,M
81,"Rozhdestvensky, Valery",Валерий Ильич Рождественский,M,1939,RU,M
82,"Glazkov, Yuri",Юрий Николаевич Глазков,M,1939,RU,M
83,"Kovalyonok, Vladimir",Владимир Васильевич Ковалёнок,M,1942,RU,M
84,"Ryumin, Valery",Валерий Викторович Рюмин,M,1939,RU,C
85,"Romanenko, Yuri",Юрий Викторович Романенко,M,1944,RU,M
86,"Dzhanibekov, Vladimir",Владимир Александрович Джанибеков,M,1942,RU,M
87,Vladimir Remek,,M,1948,CZ,M
88,"Ivanchenkov, Aleksandr",Александр Сергеевич Иванченков,M,1940,RU,M
89,Miroslaw Hermaszewske,Miroslaw Hermaszewske,M,1941,PL,M
90,"Jahn, Sigmund","Jahn, Sigmund",M,1937,DE,M
91,"Lyakhov, Vladimir",Владимир Афанасьевич Ляхов,M,1941,RU,M
92,Georgi Ivanov,Георги Иванов Иванов,M,1940,BG,M
93,"Popov, Leonid",Леонид Иванович Попов,M,1945,RU,M
94,Bertalan Farkas,Farkas Bertalan,M,1949,HU,C
95,"Malyshev, Yuri",Юрий Васильевич Малышев,M,1941,RU,M
96,Pham Tuan,Phạm Tuân,M,1947,VN,M
97,Arnaldo Tamayo Mendez,Arnaldo Tamayo Méndez,M,1942,CU,M
98,"Kizim, Leonid",Леонид Денисович Кизим,M,1941,RU,M
99,"Strekalov, Gennadi",Геннадий Михайлович Стрекалов,M,1940,RU,C
111,"Savitskaya, Svetlana",Светлана Евгеньевна Савицкая,F,1948,RU,C
112,"Overmyer, Robert F.","Overmyer, Robert F.",M,1936,US,M
113,"Allen, Joseph P.","Allen, Joseph P.",M,1937,US,C
114,"Lenoir, William B.","Lenoir, William B.",M,1939,US,C
115,"Bobko, Karol J.","Bobko, Karol J.",M,1937,US,M
116,"Peterson, Donald H.","Peterson, Donald H.",M,1933,US,M
117,"Musgrave, Franklin Story","Musgrave, Franklin Story",M,1935,US,C
118,"Titov, Vladimir",Владимир Георгиевич Титов,M,1947,RU,M
119,"Hauck, Frederick H.","Hauck, Frederick H.",M,1941,US,M
120,"Fabian, John M.","Fabian, John M.",M,1939,US,M
121,"Ride, Sally K.","Ride, Sally K.",F,1951,US,C
122,"Thagard, Norman E.","Thagard, Norman E.",M,1943,US,C
123,"Aleksandrov, Aleksandr",Александр Павлович Александров,M,1943,RU,C
124,"Brandenstein, Daniel C.","Brandenstein, Daniel C.",M,1943,US,M
125,"Bluford, Guion S., Jr.","Bluford, Guion S., Jr.",M,1942,US,M
126,"Gardner, Dale A.","Gardner, Dale A.",M,1948,US,M
127,"Thornton, William E.","Thornton, William E.",M,1929,US,C
128,"Shaw, Brewster H., Jr.","Shaw, Brewster H., Jr.",M,1945,US,M
129,"Parker, Robert A. R.","Parker, Robert A. R.",M,1936,US,C
130,"Lichtenberg, Byron Kurt","Lichtenberg, Byron Kurt",M,1948,US,M
131,"Merbold, Ulf","Merbold, Ulf",M,1941,DE,C
132,"Gibson, Robert L.","Gibson, Robert L.",M,1946,US,M
133,"McNair, Ronald E.","McNair, Ronald E.",M,1950,US,C
134,"Stewart, Robert L.","Stewart, Robert L.",M,1942,US,M
135,"McCandless, Bruce, II","McCandless, Bruce, II",M,1937,US,M
136,"Solovyov, Vladimir",Владимир Алексеевич Соловьёв,M,1946,RU,C
137,"Atkov, Oleg",Олег Юрьевич Атьков,M,1949,RU,C
138,Rakesh Sharma,राकेश शर्मा,M,1949,IN,M
139,"Scobee, Francis R.","Scobee, Francis R.",M,1939,US,M
140,"Hart, Terry J.","Hart, Terry J.",M,1946,US,C
141,"Van Hoften, James D. A.","Van Hoften, James D. A.",M,1944,US,C
142,"Nelson, George D.","Nelson, George D.",M,1950,US,C
143,"Volk, Igor",Игорь Петрович Волк,M,1937,RU,M
144,"Coats, Michael L.","Coats, Michael L.",M,1952,US,M
145,"Mullane, Richard M.","Mullane, Richard M.",M,1945,US,M
146,"Hawley, Steven A.","Hawley, Steven A.",M,1951,US,C
147,"Resnik, Judith A.","Resnik, Judith A.",F,1949,US,C
148,"Walker, Charles David","Walker, Charles David",M,1948,US,C
149,"McBride, Jon A.","McBride, Jon A.",M,1943,US,M
150,"Sullivan, Kathryn D.","Sullivan, Kathryn D.",F,1951,US,C
151,"Leestma, David C.","Leestma, David C.",M,1949,US,M
152,"Scully-Power, Paul Desmond","Scully-Power, Paul Desmond",M,1944,US,C
153,"Garneau, Marc Joseph Jean-Pierre","Garneau, Marc Joseph Jean-Pierre",M,1949,CA,M
154,"Walker, David Mathieson","Walker, David Mathieson",M,1944,US,M
155,"Fisher, Anna L.","Fisher, Anna L.",F,1949,US,C
156,"Shriver, Loren J.","Shriver, Loren J.",M,1944,US,M
157,"Onizuka, Ellison S.","Onizuka, Ellison S.",M,1946,US,M
158,"Buchli, James F.","Buchli, James F.",M,1945,US,M
159,"Payton, Gary Eugene","Payton, Gary Eugene",M,1948,US,M
160,"Williams, Donald E.","Williams, Donald E.",M,1942,US,M
161,"Seddon, Margaret Rhea","Seddon, Margaret Rhea",F,1947,US,C
162,"Griggs, S. David","Griggs, S. David",M,1947,US,C
163,"Hoffman, Jeffrey A.","Hoffman, Jeffrey A.",M,1944,US,C
164,"Garn, Edwin Jacob","Garn, Edwin Jacob",M,1932,US,M
165,"Gregory, Frederick D.","Gregory, Frederick D.",M,1941,US,M
166,"Lind, Don L.","Lind, Don L.",M,1930,US,M
167,"Lodewijk, van der Berg","Lodewijk, van der Berg",M,1932,US,C
168,"Wang, Taylor Gun-Jin",王赣骏,M,1940,US,C
169,"Creighton, John O.","Creighton, John O.",M,1943,US,M
170,"Nagel, Steven R.","Nagel, Steven R.",M,1946,US,M
171,"Lucid, Shannon W.","Lucid, Shannon W.",F,1943,US,C
172,"Baudry, Patrick","Baudry, Patrick",M,1946,FR,M
173,"Al-saud, Sultan bin Salman",,M,1956,SA,C
174,"Bridges, Roy D., Jr.","Bridges, Roy D., Jr.",M,1943,US,M
175,"Henize, Karl G.","Henize, Karl G.",M,1926,US,C
176,"England, Anthony W.","England, Anthony W.",M,1942,US,C
177,"Acton, Loren Wilbur","Acton, Loren Wilbur",M,1936,US,C
178,"Bartoe, John-David Francis","Bartoe, John-David Francis",M,1944,US,C
179,"Covey, Richard O.","Covey, Richard O.",M,1946,US,M
180,"Lounge, John M.","Lounge, John M.",M,1946,US,C
181,"Fisher, William F.","Fisher, William F.",M,1946,US,C
182,"Vasyutin, Vladimir",Владимир Владимирович Васютин,M,1952,RU,M
183,"Volkov, Alexander",Александр Александрович Волков,M,1948,RU,M
184,"Grabe, Ronald J.","Grabe, Ronald J.",M,1945,US,M
185,"Hilmers, David C.","Hilmers, David C.",M,1950,US,M
186,"Pailes, William Arthur","Pailes, William Arthur",M,1936,US,M
187,"Dunbar, Bonnie J.","Dunbar, Bonnie J.",F,1949,US,C
188,"Furrer, Reinhard Alfred","Furrer, Reinhard Alfred",M,1940,DE,C
189,"Messerschmid, Ernst Willi","Messerschmid, Ernst Willi",M,1945,DE,M
190,"Ockels, Wubbo Johannes","Ockels, Wubbo Johannes",M,1946,NL,C
192,"Ross, Jerry L.","Ross, Jerry L.",M,1948,US,M
193,"Cleave, Mary L.","Cleave, Mary L.",F,1947,US,C
194,"Spring, Sherwood C.","Spring, Sherwood C.",M,1944,US,M
195,"Neri Vela, Rodolfl",,M,1952,MX,C
196,"Bolden, Charles F., Jr.","Bolden, Charles F., Jr.",M,1946,US,M
197,"Chang-Diaz, Franklin R.","Chang-Diaz, Franklin R.",M,1950,US,C
198,"Cenker, Robert Joseph","Cenker, Robert Joseph",M,1948,US,C
199,"Nelson, William Clarence","Nelson, William Clarence",M,1942,US,C
200,"Smith, Michael John","Smith, Michael John",M,1945,US,M
201,"Jarvis, Gregory Bruce","Jarvis, Gregory Bruce",M,1944,US,C
202,"McAuliffe, Sharon Christa Corrigan","McAuliffe, Sharon Christa Corrigan",F,1948,US,C
204,"Viktorenko, Aleksandr",Александр Степанович Викторенко,M,1947,RU,M
205,"Faris, M. Achmed",,M,1951,SY,M
206,"Manarov, Musa",Муса Хираманович Манаров,M,1951,RU,M
207,"Levchenko, Anatoli",Левченко Анатолий Семёнович,M,1941,RU,M
208,"Solovyev, Anatoly",Анатолий Яковлевич Соловьёв,M,1948,RU,M
210,"Polyakov, Valeri",Валерий Владимирович Поляков,M,1942,RU,C
211,"Mohmand, Abdul Ahad",,M,1959,AF,M
212,"Krikalev, Sergei",Сергей Константинович Крикалёв,M,1958,RU,C
213,"Gardner, Guy S.","Gardner, Guy S.",M,1948,US,M
214,"Shepherd, William M.","Shepherd, William M.",M,1949,US,M
215,"Blaha, John E.","Blaha, John E.",M,1942,US,M
216,"Springer, Robert C.","Springer, Robert C.",M,1942,US,M
217,"Bagian, James P.","Bagian, James P.",M,1952,US,C
218,"Lee, Mark C.","Lee, Mark C.",M,1952,US,M
219,"Richards, Richard N.","Richards, Richard N.",M,1946,US,M
220,"Adamson, James C.","Adamson, James C.",M,1946,US,M
221,"Brown, Mark N.","Brown, Mark N.",M,1951,US,M
222,"McCulley, Michael J.","McCulley, Michael J.",M,1943,US,M
223,"Baker, Ellen S.","Baker, Ellen S.",F,1953,US,C
225,"Thornton, Kathryn C.","Thornton, Kathryn C.",F,1952,US,C
226,"Wetherbee, James D.","Wetherbee, James D.",M,1952,US,M
227,"Ivins, Marsha S.","Ivins, Marsha S.",F,1951,US,C
228,"Low, G. David","Low, G. David",M,1956,US,C
230,"Casper, John H.","Casper, John H.",M,1943,US,M
231,"Thuot, Pierre J.","Thuot, Pierre J.",M,1955,US,M
232,"Manakov, Gennadi",Геннадий Михайлович Манаков,M,1950,RU,M
233,"Cabana, Robert D.","Cabana, Robert D.",M,1949,US,M
234,"Melnick, Bruce E.","Melnick, Bruce E.",M,1949,US,M
235,"Akers, Thomas D.","Akers, Thomas D.",M,1951,US,M
236,"Culbertson, Frank L., Jr.","Culbertson, Frank L., Jr.",M,1949,US,M
237,"Meade, Carl J.","Meade, Carl J.",M,1950,US,M
238,"Gemar, Charles D.","Gemar, Charles D.",M,1955,US,M
