number,name,original_name,sex,year_of_birth,nationality,background
402,"Kelly, James M.","Kelly, James M.",M,1959,US,M
403,"Richards, Paul W.","Richards, Paul W.",M,1964,US,C
404,"Phillips, John L.","Phillips, John L.",M,1951,US,C
405,"Lonchakov, Yuri",Юрий Валентинович Лончаков,M,1965,RU,M
407,"Hobaugh, Charles O.","Hobaugh, Charles O.",M,1961,US,M
408,"Forrester, Patrick G.","Forrester, Patrick G.",M,1957,US,M
409,"Tyurin, Mikhail",Михаил Владиславович Тюрин,M,1960,RU,M
410,"Kozeyev, Konstantin",Константин Мирович Козеев,M,1967,RU,C
411,"Kelly, Mark E.","Kelly, Mark E.",M,1964,US,M
412,"Tani, Daniel M.","Tani, Daniel M.",M,1961,US,C
413,"Carey, Duane G.","Carey, Duane G.",M,1957,US,M
414,"Massimino, Michael J.","Massimino, Michael J.",M,1962,US,C
415,"Frick, Stephen N.","Frick, Stephen N.",M,1964,US,M
416,"Walheim, Rex J.","Walheim, Rex J.",M,1962,US,M
417,"Morin, Lee M.","Morin, Lee M.",M,1952,US,M
418,"Vittori, Roverto","Vittori, Roverto",M,1964,IT,M
419,"Shuttleworth, M. Richard","Shuttleworth, M. Richard",M,1973,ZA,C
420,"Lockhart, Paul S.","Lockhart, Paul S.",M,1956,US,M
421,"Perrin, Philippe","Perrin, Philippe",M,1963,FR,M
422,"Whitson, Peggy A.","Whitson, Peggy A.",F,1960,US,C
424,"Magnus, Sandra H.","Magnus, Sandra H.",F,1964,US,C
425,"Sellers, Piers J.","Sellers, Piers J.",M,1955,UK,C
426,"Yurchikhin, Fyodor",Фёдор Николаевич Юрчихин,M,1959,RU,C
427,"De Winne, Frank","De Winne, Frank",M,1961,BE,M
428,"Herrington, John B.","Herrington, John B.",M,1958,US,M
429,"Pettit, Donald R.","Pettit, Donald R.",M,1955,US,C
430,"McCool, William C.","McCool, William C.",M,1961,US,M
431,"Brown, David M.","Brown, David M.",M,1956,US,M
432,"Clark, Laurel B.","Clark, Laurel B.",F,1961,US,M
433,"Ramon, Ilan",אילן רמון,M,1954,IL,M
434,"Yang, Liwei",杨利伟,M,1965,CN,M
435,"Fincke, E. Michael","Fincke, E. Michael",M,1967,US,M
436,"Kuipers, Andre","Kuipers, Andre",M,1958,NL,C
437,"Shargin, Yuri",Юрий Георгиевич Шаргин,M,1960,RU,M
438,"Noguchi, Soichi",野口聡一,M,1965,JP,C
439,"Camarda, Charles J.","Camarda, Charles J.",M,1952,US,C
440,"Olsen, Gregory Hammond","Olsen, Gregory Hammond",M,1945,US,C
441,"Fei, Junlong",费俊龙,M,1966,CN,M
442,Nie Haisheng,聂海胜,M,1964,CN,M
443,"Pontes, Marcos Cesar","Pontes, Marcos Cesar",M,1963,BR,M
444,"Fossum, Michael E.","Fossum, Michael E.",M,1957,US,C
445,"Nowak, Lisa M.","Nowak, Lisa M.",F,1963,US,M
446,"Wilson, Stephanie D.","Wilson, Stephanie D.",F,1966,US,C
447,"Ferguson, Christopher J.","Ferguson, Christopher J.",M,1961,US,M
448,"Stefanyshyn-Piper, Heidemarie M.","Stefanyshyn-Piper, Heidemarie M.",F,1963,US,M
449,"Ansari, Anousheh",انوشه انصاری,F,1966,US,C
450,"Oefelein, William A.","Oefelein, William A.",M,1965,US,M
451,"Patrick, Nicholas J. M.","Patrick, Nicholas J. M.",M,1964,UK,C
452,Christer Fuglesang,Christer Fuglesang,M,1957,SE,C
453,"Higginbotham, Joan E.","Higginbotham, Joan E.",F,1964,US,C
454,"Williams, Sunita L.","Williams, Sunita L.",F,1965,US,M
456,"Simonyi, Charles (Karoly)","Simonyi, Charles (Karoly)",M,1948,US,C
457,"Archambault, Lee J.","Archambault, Lee J.",M,1960,US,M
458,"Swanson, Steven R.","Swanson, Steven R.",M,1960,US,C
459,"Olivas, John D.","Olivas, John D.",M,1965,US,C
460,"Anderson, Clayton C.","Anderson, Clayton C.",M,1959,US,C
461,"Caldwell, Tracy E.","Caldwell, Tracy E.",F,1969,US,C
462,"Drew, Alvin Benjamin","Drew, Alvin B.",M,1962,US,M
463,"Morgan, Barbara R.","Morgan, Barbara R.",F,1951,US,C
464,"Shukor, Sheikh Muszaphar","Shukor, Sheikh Muszaphar",M,1972,MY,C
465,"Zamka, George D.","Zamka, George D.",M,1962,US,M
466,"Wheelock, Douglas H.","Wheelock, Douglas H.",M,1960,US,M
467,"Nespoli, Paolo A.","Nespoli, Paolo A.",M,1957,IT,M
468,"Poindexter, Alan G.","Poindexter, Alan G.",M,1961,US,M
469,"Melvin, Leland D.","Melvin, Leland D.",M,1964,US,C
470,"Love, Stanley G.","Love, Stanley G.",M,1965,US,C
471,"Johnson, Gregory H.","Johnson, Gregory H.",M,1962,US,M
472,"Behnken, Robert L.","Behnken, Robert L.",M,1970,US,M
473,"Foreman, Michael J.","Foreman, Michael J.",M,1957,US,M
474,"Reisman, Garrett E.","Reisman, Garrett E.",M,1968,US,C
475,"Volkov, Sergei",Сергей Александрович Волков,M,1973,RU,M
476,"Kononenko, Oleg D.",Олег Дмитриевич Кононенко,M,1964,RU,M
477,"Yi, Soyeon (Lee So-hyun)",이소연,F,1978,KR,C
478,"Ham, Kenneth T.","Ham, Kenneth T.",M,1964,US,M
479,"Nyberg, Karen L.","Nyberg, Karen L.",F,1969,US,C
480,"Garan, Ronald J., Jr.","Garan, Ronald J., Jr.",M,1961,US,M
481,"Hoshide, Akihiko",星出彰彦,M,1968,JP,C
482,"Chamitoff, Gregory","Chamitoff, Gregory",M,1962,US,C
483,"Zhai, Zhigang",翟志刚,M,1966,CN,M
484,"Liu, Boming",刘伯明,M,1966,CN,M
485,"Jing, Haipeng",景海鹏,M,1966,CN,M
486,"Garriott, Richard Allen","Garriott, Richard Allen",M,1961,UK,C
487,"Boe, Eric A.","Boe, Eric A.",M,1964,US,M
488,"Bowen, Stephen G.","Bowen, Stephen G.",M,1964,US,M
489,"Kimbrough, Robert S.","Kimbrough, Robert S.",M,1967,US,M
490,"Antonelli, Dominic A.","Antonelli, Dominic A.",M,1967,US,M
491,"Acaba, Joseph M.","Acaba, Joseph M.",M,1967,US,C
492,"Arnold, Richard R., II","Arnold, Richard R., II",M,1963,US,C
493,"Barratt, Michael R.","Barratt, Michael R.",M,1959,US,C
494,"Johnson, Gregory C.","Johnson, Gregory C.",M,1954,US,C
495,"Good, Michael T.","Good, Michael T.",M,1962,US,M
496,"McArthur, K. Megan","McArthur, K. Megan",F,1971,US,C
497,"Feustel, Andrew J.","Feustel, Andrew J.",M,1965,US,C
498,"Romanenko, Roman",Роман Юрьевич Романенко,M,1971,RU,M
499,"Hurley, Douglas G.","Hurley, Douglas G.",M,1966,US,M
500,"Cassidy, Christopher J.","Cassidy, Christopher J.",M,1970,US,M
501,"Marshburn, Thomas H.","Marshburn, Thomas H.",M,1960,US,M
502,"Kopra, Timothy L.","Kopra, Timothy L.",M,1963,US,M
503,"Ford, Kevin A.","Ford, Kevin A.",M,1960,US,M
504,"Hernandez, Jose M.","Hernandez, Jose M.",M,1962,US,C
505,"Stott, Nicole P.","Stott, Nicole P.",F,1962,US,C
506,"Surayev, Maksim",Максим Викторович Сураев,M,1972,RU,M
507,Guy Laliberte,Guy Laliberte,M,1959,CA,C
508,"Wilmore, Barry E.","Wilmore, Barry E.",M,1962,US,M
509,"Bresnik, Randolph J.","Bresnik, Randolph J.",M,1967,US,M
510,"Satcher, Robert L.","Satcher, Robert L.",M,1965,US,C
512,"Virts, Terry W., Jr.","Virts, Terry W., Jr.",M,1967,US,M
513,"Skvortsov, Aleksandr Jr.",Александр Александрович Скворцов,M,1966,RU,M
514,"Korniyenko, Mikhail",Михаил Борисович Корниенко,M,1960,RU,C
515,"Dutton, James P.","Dutton, James P.",M,1968,US,M
516,"Metcalf-Lindenburger, Dorothy M.","Metcalf-Lindenburger, Dorothy M.",F,1975,US,C
517,"Yamazaki, Naoko",山崎直子,F,1970,JP,C
519,"Skripochka, Oleg",Олег Иванович Скрипочка,M,1969,RU,C
521,"Samokutyayev, Aleksandr",Александр Михайлович Самокутяев,M,1970,RU,M
522,"Borisenko, Andrei",Андрей Иванович Борисенко,M,1964,RU,M
526,"Revin, Sergei",Сергей Николаевич Ревин,M,1966,RU,C
527,"Liu, Wang",刘旺,M,1969,CN,M
528,"Liu, Yang",刘洋,F,1978,CN,M
529,"Novitski, Oleg",Олег Викторович Новицкий,M,1971,RU,M
530,"Tarelkin, Yevgeni",Евгений Игоревич Тарелкин,M,1974,RU,M
532,"Parmitano, Luca","Parmitano, Luca",M,1976,IT,M
533,"Zhang, Xiaoguang",张晓光,M,1968,CN,M
534,"Wang, Yapi",王亚平,M,1980,CN,M
539,"Gerst, Alexander","Gerst, Alexander",M,1976,DE,C
540,"Serova, Yelena",Елена Олеговна Серова,F,1976,RU,C
544,"Mogensen, Andreas","Mogensen, Andreas",M,1976,DK,C
545,Aidyn (Aydyn) Akanovich Aimbetov,Айдын Ақанұлы Айымбетов,M,1972,KZ,M
546,"Peake, Timothy Nigel","Peake, Timothy Nigel",M,1972,GB,M
547,"Ovchinin, Aleksey",Алексей Николаевич Овчинин,M,1971,RU,M
550,"Chen, Dong",陈冬,M,1978,CN,M
557,"Prokopyev, Sergei",Сергей Валерьевич Прокопьев,M,1975,RU,M
558,"Auñón-Chancellor, Serena","Auñón-Chancellor, Serena",F,1976,US,C
559,"Hague, Tyler","Hague, Tyler",M,1975,US,M
560,"Saint-Jaques, David","Saint-Jaques, David",M,1970,CA,C
561,"McClain, Anne Charlotte","McClain, Anne Charlotte",F,1979,US,M
